,,,,Check this out !!!,,
Chamomile,Tansy,TRUE,,,,
Carrots,Tansy,TRUE,,,,
Cauliflower,Tansy,TRUE,,,,
Celery,Tansy,TRUE,,,,
Cherry,Tansy,TRUE,,,,
Chervil,Tansy,TRUE,,,,
Chives,Tansy,TRUE,,,,
Coriander,Tansy,TRUE,,,,
Corn,Tansy,TRUE,,,,
Cucumber,Tansy,TRUE,,,,
Dill,Tansy,TRUE,,,,
Eggplant,Tansy,TRUE,,,,
Fennel,Tansy,TRUE,,,,
Marigold,Tansy,TRUE,,,,
Fruit Trees,Tansy,TRUE,,,,
Garlic,Tansy,TRUE,,,,
Gooseberry,Tansy,TRUE,,,,
Grape Vine,Tansy,TRUE,,,,
Grass,Tansy,TRUE,,,,
Horseradish,Tansy,TRUE,,,,
Lavender,Tansy,TRUE,,,,
Leeks,Tansy,TRUE,,,,
Lemon Balm,Tansy,TRUE,,,,
Lettuce,Tansy,TRUE,,,,
Marjoram,Tansy,TRUE,,,,
Mints,Tansy,TRUE,,,,
Mulberry,Tansy,TRUE,,,,
Mustard,Tansy,TRUE,,,,
Nasturtiums,Tansy,TRUE,,,,
Onions,Tansy,TRUE,,,,
Parsley,Tansy,TRUE,,,,
Parsnip,Tansy,TRUE,,,,
Peas,Tansy,TRUE,,,,
Pennyroyal,Tansy,TRUE,,,,
Potato,Tansy,TRUE,,,,
Pumpkin,Tansy,TRUE,,,,
Radish,Tansy,TRUE,,,,
Raspberry,Tansy,TRUE,,,,
Rosemary,Tansy,TRUE,,,,
Roses,Tansy,TRUE,,,,
Rue,Tansy,TRUE,,,,
Sage,Tansy,TRUE,,,,
Savory,Tansy,TRUE,,,,
Shallots,Tansy,TRUE,,,,
Silverbeet,Tansy,TRUE,,,,
Spinach,Tansy,TRUE,,,,
Squash,Tansy,FALSE,,,,
Strawberries,Tansy,TRUE,,,,
Stinging Nettle,Tansy,TRUE,,,,
Sunﬂower,Tansy,TRUE,,,,
Tansy,Tansy,TRUE,,,,
Apple,Thyme,TRUE,,,,
Apricot,Thyme,TRUE,,,,
Asparagus,Thyme,TRUE,,,,
Basil,Thyme,TRUE,,,,
Beans,Thyme,TRUE,,,,
Broad Beans,Thyme,TRUE,,,,
Bush Beans,Thyme,TRUE,,,,
Climbing Beans,Thyme,TRUE,,,,
Beets,Thyme,TRUE,,,,
Borage,Thyme,TRUE,,,,
Broccoli,Thyme,TRUE,,,,
Brussell Sprouts,Thyme,TRUE,,,,
Cabbages,Thyme,TRUE,,,,
Chamomile,Thyme,TRUE,,,,
Carrots,Thyme,TRUE,,,,
Cauliflower,Thyme,TRUE,,,,
Celery,Thyme,TRUE,,,,
Cherry,Thyme,TRUE,,,,
Chervil,Thyme,TRUE,,,,
Chives,Thyme,TRUE,,,,
Coriander,Thyme,TRUE,,,,
Corn,Thyme,TRUE,,,,
Cucumber,Thyme,TRUE,,,,
Dill,Thyme,TRUE,,,,
Eggplant,Thyme,TRUE,,,,
Fennel,Thyme,TRUE,,,,
Marigold,Thyme,TRUE,,,,
Fruit Trees,Thyme,TRUE,,,,
Garlic,Thyme,TRUE,,,,
Gooseberry,Thyme,TRUE,,,,
Grape Vine,Thyme,TRUE,,,,
Grass,Thyme,TRUE,,,,
Horseradish,Thyme,TRUE,,,,
Lavender,Thyme,TRUE,,,,
Leeks,Thyme,TRUE,,,,
Lemon Balm,Thyme,TRUE,,,,
Lettuce,Thyme,TRUE,,,,
Marjoram,Thyme,TRUE,,,,
Mints,Thyme,TRUE,,,,
Mulberry,Thyme,TRUE,,,,
Mustard,Thyme,TRUE,,,,
Nasturtiums,Thyme,TRUE,,,,
Onions,Thyme,TRUE,,,,
Parsley,Thyme,TRUE,,,,
Parsnip,Thyme,TRUE,,,,
Peas,Thyme,TRUE,,,,
Pennyroyal,Thyme,TRUE,,,,
Potato,Thyme,TRUE,,,,
Pumpkin,Thyme,TRUE,,,,
Radish,Thyme,TRUE,,,,
Raspberry,Thyme,TRUE,,,,
Rosemary,Thyme,TRUE,,,,
Roses,Thyme,TRUE,,,,
Rue,Thyme,TRUE,,,,
Sage,Thyme,TRUE,,,,
Savory,Thyme,TRUE,,,,
Shallots,Thyme,TRUE,,,,
Silverbeet,Thyme,TRUE,,,,
Spinach,Thyme,TRUE,,,,
Squash,Thyme,TRUE,,,,
Strawberries,Thyme,TRUE,,,,
Stinging Nettle,Thyme,TRUE,,,,
Sunﬂower,Thyme,TRUE,,,,
Tansy,Thyme,TRUE,,,,
Thyme,Thyme,TRUE,,,,
Apple,Tomato,TRUE,,,,
Apricot,Tomato,TRUE,,,,
Asparagus,Tomato,TRUE,,,,
Basil,Tomato,TRUE,,,,
Beans,Tomato,TRUE,,,,
Broad Beans,Tomato,TRUE,,,,
Bush Beans,Tomato,TRUE,,,,
Climbing Beans,Tomato,FALSE,,,,
Beets,Tomato,TRUE,,,,
Borage,Tomato,TRUE,,,,
Broccoli,Tomato,TRUE,,,,
Brussell Sprouts,Tomato,TRUE,,,,
Cabbages,Tomato,TRUE,,,,
Chamomile,Tomato,TRUE,,,,
Carrots,Tomato,TRUE,,,,
Cauliflower,Tomato,TRUE,,,,
Celery,Tomato,TRUE,,,,
Cherry,Tomato,FALSE,,,,
Chervil,Tomato,TRUE,,,,
Chives,Tomato,TRUE,,,,
Coriander,Tomato,TRUE,,,,
Corn,Tomato,TRUE,,,,
Cucumber,Tomato,TRUE,,,,
Dill,Tomato,TRUE,,,,
Eggplant,Tomato,TRUE,,,,
Fennel,Tomato,TRUE,,,,
Marigold,Tomato,TRUE,,,,
Fruit Trees,Tomato,TRUE,,,,
Garlic,Tomato,TRUE,,,,
Gooseberry,Tomato,TRUE,,,,
Grape Vine,Tomato,TRUE,,,,
Grass,Tomato,TRUE,,,,
Horseradish,Tomato,TRUE,,,,
Lavender,Tomato,TRUE,,,,
Leeks,Tomato,TRUE,,,,
Lemon Balm,Tomato,TRUE,,,,
Lettuce,Tomato,TRUE,,,,
Marjoram,Tomato,TRUE,,,,
Mints,Tomato,TRUE,,,,
Mulberry,Tomato,TRUE,,,,
Mustard,Tomato,TRUE,,,,
Nasturtiums,Tomato,TRUE,,,,
Onions,Tomato,TRUE,,,,
Parsley,Tomato,TRUE,,,,
Parsnip,Tomato,TRUE,,,,
Peas,Tomato,TRUE,,,,
Pennyroyal,Tomato,TRUE,,,,
Potato,Tomato,TRUE,,,,
Pumpkin,Tomato,TRUE,,,,
Radish,Tomato,TRUE,,,,
Raspberry,Tomato,TRUE,,,,
Rosemary,Tomato,TRUE,,,,
Roses,Tomato,TRUE,,,,
Rue,Tomato,TRUE,,,,
Sage,Tomato,TRUE,,,,
Savory,Tomato,TRUE,,,,
Shallots,Tomato,TRUE,,,,
Silverbeet,Tomato,TRUE,,,,
Spinach,Tomato,TRUE,,,,
Squash,Tomato,TRUE,,,,
Strawberries,Tomato,TRUE,,,,
Stinging Nettle,Tomato,TRUE,,,,
Sunﬂower,Tomato,TRUE,,,,
Tansy,Tomato,TRUE,,,,
Thyme,Tomato,TRUE,,,,
Tomato,Tomato,TRUE,,,,
Apple,Yarrow,TRUE,,,,
Apricot,Yarrow,TRUE,,,,
Asparagus,Yarrow,TRUE,,,,
Basil,Yarrow,TRUE,,,,
Beans,Yarrow,TRUE,,,,
Broad Beans,Yarrow,TRUE,,,,
Bush Beans,Yarrow,TRUE,,,,
Climbing Beans,Yarrow,TRUE,,,,
Beets,Yarrow,TRUE,,,,
Borage,Yarrow,TRUE,,,,
Broccoli,Yarrow,TRUE,,,,
Brussell Sprouts,Yarrow,TRUE,,,,
Cabbages,Yarrow,TRUE,,,,
Chamomile,Yarrow,TRUE,,,,
Carrots,Yarrow,TRUE,,,,
Cauliflower,Yarrow,TRUE,,,,
Celery,Yarrow,TRUE,,,,
Cherry,Yarrow,TRUE,,,,
Chervil,Yarrow,FALSE,,,,
Chives,Yarrow,TRUE,,,,
Coriander,Yarrow,TRUE,,,,
Corn,Yarrow,TRUE,,,,
Cucumber,Yarrow,TRUE,,,,
Dill,Yarrow,TRUE,,,,
Eggplant,Yarrow,TRUE,,,,
Fennel,Yarrow,TRUE,,,,
Marigold,Yarrow,TRUE,,,,
Fruit Trees,Yarrow,TRUE,,,,
Garlic,Yarrow,TRUE,,,,
Gooseberry,Yarrow,TRUE,,,,
Grape Vine,Yarrow,TRUE,,,,
Grass,Yarrow,TRUE,,,,
Horseradish,Yarrow,TRUE,,,,
Lavender,Yarrow,TRUE,,,,
Leeks,Yarrow,TRUE,,,,
Lemon Balm,Yarrow,TRUE,,,,
Lettuce,Yarrow,TRUE,,,,
Marjoram,Yarrow,TRUE,,,,
Mints,Yarrow,TRUE,,,,
Mulberry,Yarrow,TRUE,,,,
Mustard,Yarrow,TRUE,,,,
Nasturtiums,Yarrow,TRUE,,,,
Onions,Yarrow,TRUE,,,,
Parsley,Yarrow,TRUE,,,,
Parsnip,Yarrow,TRUE,,,,
Peas,Yarrow,TRUE,,,,
Pennyroyal,Yarrow,TRUE,,,,
Potato,Yarrow,TRUE,,,,
Pumpkin,Yarrow,TRUE,,,,
Radish,Yarrow,TRUE,,,,
Raspberry,Yarrow,TRUE,,,,
Rosemary,Yarrow,TRUE,,,,
Roses,Yarrow,TRUE,,,,
Rue,Yarrow,TRUE,,,,
Sage,Yarrow,TRUE,,,,
Savory,Yarrow,TRUE,,,,
Shallots,Yarrow,TRUE,,,,
Silverbeet,Yarrow,TRUE,,,,
Spinach,Yarrow,TRUE,,,,
Squash,Yarrow,TRUE,,,,
Strawberries,Yarrow,TRUE,,,,
Stinging Nettle,Yarrow,TRUE,,,,
Sunﬂower,Yarrow,TRUE,,,,
Tansy,Yarrow,FALSE,,,,
Thyme,Yarrow,TRUE,,,,
Tomato,Yarrow,TRUE,,,,
Yarrow,Yarrow,TRUE,,,,
Apple,Zucchini,TRUE,,,,
Apricot,Zucchini,TRUE,,,,
Asparagus,Zucchini,TRUE,,,,
Basil,Zucchini,TRUE,,,,
Beans,Zucchini,TRUE,,,,
Broad Beans,Zucchini,TRUE,,,,
Bush Beans,Zucchini,TRUE,,,,
Climbing Beans,Zucchini,TRUE,,,,
Beets,Zucchini,TRUE,,,,
Borage,Zucchini,TRUE,,,,
Broccoli,Zucchini,TRUE,,,,
Brussell Sprouts,Zucchini,TRUE,,,,
Cabbages,Zucchini,TRUE,,,,
Chamomile,Zucchini,TRUE,,,,
Carrots,Zucchini,TRUE,,,,
Cauliflower,Zucchini,TRUE,,,,
Celery,Zucchini,TRUE,,,,
Cherry,Zucchini,TRUE,,,,
Chervil,Zucchini,TRUE,,,,
Chives,Zucchini,TRUE,,,,
Coriander,Zucchini,TRUE,,,,
Corn,Zucchini,TRUE,,,,
Cucumber,Zucchini,TRUE,,,,
Dill,Zucchini,TRUE,,,,
Eggplant,Zucchini,TRUE,,,,
Fennel,Zucchini,TRUE,,,,
Marigold,Zucchini,TRUE,,,,
Fruit Trees,Zucchini,TRUE,,,,
Garlic,Zucchini,TRUE,,,,
Gooseberry,Zucchini,TRUE,,,,
Grape Vine,Zucchini,TRUE,,,,
Grass,Zucchini,TRUE,,,,
Horseradish,Zucchini,TRUE,,,,
Lavender,Zucchini,TRUE,,,,
Leeks,Zucchini,TRUE,,,,
Lemon Balm,Zucchini,TRUE,,,,
Lettuce,Zucchini,TRUE,,,,
Marjoram,Zucchini,TRUE,,,,
Mints,Zucchini,TRUE,,,,
Mulberry,Zucchini,TRUE,,,,
Mustard,Zucchini,TRUE,,,,
Nasturtiums,Zucchini,TRUE,,,,
Onions,Zucchini,TRUE,,,,
Parsley,Zucchini,TRUE,,,,
Parsnip,Zucchini,TRUE,,,,
Peas,Zucchini,TRUE,,,,
Pennyroyal,Zucchini,TRUE,,,,
Potato,Zucchini,TRUE,,,,
Pumpkin,Zucchini,TRUE,,,,
Radish,Zucchini,TRUE,,,,
Raspberry,Zucchini,TRUE,,,,
Rosemary,Zucchini,TRUE,,,,
Roses,Zucchini,TRUE,,,,
Rue,Zucchini,TRUE,,,,
Sage,Zucchini,TRUE,,,,
Savory,Zucchini,TRUE,,,,
Shallots,Zucchini,TRUE,,,,
Silverbeet,Zucchini,TRUE,,,,
Spinach,Zucchini,TRUE,,,,
Squash,Zucchini,TRUE,,,,
Strawberries,Zucchini,TRUE,,,,
Stinging Nettle,Zucchini,TRUE,,,,
Sunﬂower,Zucchini,TRUE,,,,
Tansy,Zucchini,TRUE,,,,
Thyme,Zucchini,TRUE,,,,
Tomato,Zucchini,TRUE,,,,
Yarrow,Zucchini,TRUE,,,,
Zucchini,Zucchini,TRUE,,,,
